antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'customer_type_Transient'}),"frozenset({'arrival_date_month_April', 'deposit_type_No Deposit'})",0.8256747890223761,0.0639380981470169,0.054050996628883005,0.06546281580533786,1.0238467784076888,1.0,0.0012589209308528498,1.0016315216602483,0.1336086415973708,0.06468820232325147,0.001628864133133401,0.45541364427917286
frozenset({'hotel_City Hotel'}),frozenset({'arrival_date_month_April'}),0.7484105975248309,0.10221950722867033,0.0782596891332383,0.10456785271622479,1.0229735551581274,1.0,0.0017575266495353653,1.0026225834025257,0.08926299550125673,0.1013240377292167,0.002615723449621215,0.4350860511921097
frozenset({'arrival_date_month_April'}),frozenset({'hotel_City Hotel'}),0.10221950722867033,0.7484105975248309,0.0782596891332383,0.7656042496679946,1.0229735551581274,1.0,0.0017575266495353653,1.0733530881801827,0.02501460421798782,0.1013240377292167,0.06834012869385725,0.4350860511921097
frozenset({'hotel_City Hotel'}),frozenset({'customer_type_Transient-Party'}),0.7484105975248309,0.14446028190683047,0.11009298852915224,0.1471023912452009,1.0182895208530358,1.0,0.0019773826286557383,1.0030978036651172,0.0713902182816017,0.14064396785941385,0.003088236913487971,0.4546005300000476
frozenset({'customer_type_Transient-Party'}),frozenset({'hotel_City Hotel'}),0.14446028190683047,0.7484105975248309,0.11009298852915224,0.7620986687548943,1.0182895208530358,1.0,0.0019773826286557383,1.0575367576062904,0.02099379138127178,0.14064396785941385,0.05440639031453002,0.4546005300000476
"frozenset({'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'market_segment_Offline TA/TO'}),0.6126609199303151,0.18783230389827824,0.11697097219394104,0.19092285534916356,1.0164537802430356,1.0,0.0018934600949913755,1.0038198476762301,0.041791382707568984,0.17112972096256332,0.003805311964166379,0.406832181709754
frozenset({'market_segment_Offline TA/TO'}),"frozenset({'customer_type_Transient', 'hotel_City Hotel'})",0.18783230389827824,0.6126609199303151,0.11697097219394104,0.6227415080703445,1.0164537802430353,1.0,0.0018934600949913755,1.026720639443973,0.019931149454093126,0.17112972096256332,0.02602522869165631,0.406832181709754
frozenset({'hotel_City Hotel'}),frozenset({'arrival_date_month_March'}),0.7484105975248309,0.07122333084458925,0.05396049684382,0.07210012394570574,1.0123104759454409,1.0,0.0006562012487122404,1.0009449221017734,0.04833578420282628,0.0704745582412387,0.0009440300668984381,0.41486200606433954
frozenset({'arrival_date_month_March'}),frozenset({'hotel_City Hotel'}),0.07122333084458925,0.7484105975248309,0.05396049684382,0.7576238881829733,1.0123104759454409,1.0,0.0006562012487122404,1.0380123708936206,0.013093320999133474,0.0704745582412387,0.03662034476611861,0.41486200606433954
frozenset({'arrival_date_month_September'}),frozenset({'hotel_City Hotel'}),0.09310165388357203,0.7484105975248309,0.0703409579402249,0.7555285540704739,1.0095107639699168,1.0,0.0006626935266707684,1.0291156970033015,0.010388332459378053,0.09121314361155934,0.02829195695691348,0.42475783790467075
frozenset({'hotel_City Hotel'}),frozenset({'arrival_date_month_September'}),0.7484105975248309,0.09310165388357203,0.0703409579402249,0.09398712173886757,1.0095107639699168,1.0,0.0006626935266707684,1.0009773236965405,0.037446575386844407,0.09121314361155934,0.0009763694675233942,0.42475783790467075
